Título,Descrição,Tipo da Vaga,Habilidades Necessárias,Site
Coordenador deGestãode Sinistros (Dados / Saúde),"Descrição: Oportunidade para atuar com o time de Sinistros Saúde e Odonto com as seguintes atividades:Como área, temos o propósito de lidar com a necessidade cada vez mais premente de entregas de estudos de custos com velocidade, qualidade e assertividade, além de garantir a replicação em escala destas entregas. Neste sentido, atuamos com o atendimento às Regionais (nossos clientes internos), c...",Não informado,Não informado,Analista de Dados
Líder de Operações Logisticas,de reporte operacional.Enviar o relatório de reporte operacional.Medir e acompanhar o desempenho dosAuxiliares,Não informado,Não informado,Analista de Dados
Líder de Operações Logisticas,de reporte operacional.Enviar o relatório de reporte operacional.Medir e acompanhar o desempenho dosAuxiliares,Não informado,Não informado,Analista de Dados
Supervisor de Operações Logísticas,"Descrição: Descrição:Gestão Operacional Diária:Responsável pela operação diária do centro de transbordo, garantindo o fluxo eficiente das etapas de recebimento, triagem, armazenamento, carregamento e envio de mercadorias.Desenvolver e otimizar os processos operacionais para aumentar a eficiência e a qualidade dos serviços do centro de transbordo.Gestão de Equipe:Liderar e gerenciar a equipe do ...",Não informado,Não informado,Analista de Dados
Supervisor de Operações Logísticas,"Descrição: Descrição:Gestão Operacional Diária:Responsável pela operação diária do centro de transbordo, garantindo o fluxo eficiente das etapas de recebimento, triagem, armazenamento, carregamento e envio de mercadorias.Desenvolver e otimizar os processos operacionais para aumentar a eficiência e a qualidade dos serviços do centro de transbordo.Gestão de Equipe:Liderar e gerenciar a equipe do ...",Não informado,Não informado,Analista de Dados
Supervisor de Operações Logísticas,"Descrição: Descrição:Gestão Operacional Diária:Responsável pela operação diária do centro de transbordo, garantindo o fluxo eficiente das etapas de recebimento, triagem, armazenamento, carregamento e envio de mercadorias.Desenvolver e otimizar os processos operacionais para aumentar a eficiência e a qualidade dos serviços do centro de transbordo.Gestão de Equipe:Liderar e gerenciar a equipe do ...",Não informado,Não informado,Analista de Dados
Supervisor de Operações Logísticas,"Descrição: Descrição:Gestão Operacional Diária:Responsável pela operação diária do centro de transbordo, garantindo o fluxo eficiente das etapas de recebimento, triagem, armazenamento, carregamento e envio de mercadorias.Desenvolver e otimizar os processos operacionais para aumentar a eficiência e a qualidade dos serviços do centro de transbordo.Gestão de Equipe:Liderar e gerenciar a equipe do ...",Não informado,Não informado,Analista de Dados
Supervisor de Operações Logísticas,"Descrição: Gestão Operacional Diária:Responsável pela operação diária do centro de transbordo, garantindo o fluxo eficiente das etapas de recebimento, triagem, armazenamento, carregamento e envio de mercadorias.Desenvolver e otimizar os processos operacionais para aumentar a eficiência e a qualidade dos serviços do centro de transbordo.Gestão de Equipe:Liderar e gerenciar a equipe do centro de ...",Não informado,Não informado,Analista de Dados
Coordenador deLogistica- Fábrica,"Descrição: Requisitos:

Ensino superior completo em Administração, Logística, Engenharia ou áreas afins.
Pós-graduação em Logística ou áreas afins.
Inglês nível intermediário.
Experiência sólida com processos e rotinas da área de Logística, com vivência sólida em recebimento, separação, conferência, faturamento, expedição e inventário.
Experiência sólida com gestão de equipes.
Experiênci...",Não informado,Não informado,Analista de Dados
Team Leader (Lider deLogistica),"Descrição: Vaga de Team Leader (Líder de Logística)Estamos em busca de um profissional para liderar nossa equipe de logística. O candidato ideal deve ter experiência em liderança de equipes, conhecimento em processos logísticos e habilidades de comunicação e negociação.Responsabilidades:- Gerenciar a equipe de logística, garantindo a eficiência e qualidade dos processos;- Planejar e coordenar a...",Não informado,Não informado,Analista de Dados
Coordenador de Operações Logísticas - Last Mile,"Descrição: Gestão do time operacional, garantindo os processos de recebimento, triagem e distribuição de mercadorias;Monitorar os KPIs operacionais e garantir o atingimento das metas estabelecidas para suas unidades operacionais; Responsável por garantir ferramentas, recursos e ações de desenvolvimento para sua equipe, visando garantir a eficiência operacional e a estabilidade dos processos pro...",Não informado,Não informado,Analista de Dados
Coordenador de Operações Logísticas - Last Mile,"Descrição: Coordenar a operação logística last mile, garantindo o alcance de metas e o atendimento com alta qualidade de performance; Gestão do time operacional, garantindo os processos de recebimento, triagem e distribuição de mercadorias;Monitorar os KPIs operacionais e garantir o atingimento das metas estabelecidas para suas unidades operacionais; Responsável por garantir ferramentas, recurs...",Não informado,Não informado,Analista de Dados
Coordenador de PCP,"e dos relatórios gerenciais, prevendo e implantando ações quando necessário;			Coordenar o controleadministrativoà produção, buscando o monitoramento dos processos;			Buscar junto à equipe responsável pela rotinaadministrativa",Não informado,Não informado,Analista de Dados
Coordenador de Fabricação e Enchimento,"processos fiscais necessário a venda ou transferências de produtos.Gerenciar as atividades da áreaAdministrativaO suporteadministrativose estende à Logística, Compras, Emissão de notas fiscais, controle fiscal e",Não informado,Não informado,Analista de Dados
Supervisão de Enfermagem – CCIH – Biocor,": - Gerenciar, acompanhar e orientar os membros da equipe do CEQ;- Avaliar e acompanhar as demandasadministrativasequipe multidisciplinar, conforme demanda;- Realizar levantamento de dados e elaborar relatórios paraauxiliar",Não informado,Não informado,Analista de Dados
Mecânico de Manutenção,"relativas a manutenção preventiva, corretiva e preditiva, bem como novas instalações;• Executar e promoveranálisespropondo ações de melhorias;• Elaborar desenhos mecânicos e procedimentos técnicos de menor complexidade;•Analisarar comprimido, durante turnos que não tenham os profissionais específicos;• Preencher documentos comanálisesdas quebras, par...",Não informado,Não informado,Analista de Dados
Engenheiro Serviços Técnicos de Campo,"Descrição: Realizaranálisede falha das anomalias ocorridas em processos de manutenção, operação de interpretação de manuais, atuando como facilitador na execução de serviços pertinentes a função;Coletar eanalisardadosdeanálisede vibração do equipamento; Acompanhar montagem de equipamentos;Acompanhar o startup",Não informado,Não informado,Analista de Dados
Analista de Controladoria Pleno,estava procurando.Responsabilidades:•	Auxiliar no fechamento mensal das contas de resultado;•	Realizaranálisesde variações de custos por conta e centro de custos em busca de oportunidades;•	Realizaranálisesde afins;Experiência em controladoria;Conhecimento intermediário em Excel;Inglês avançado;Habilidade emanálisededadose elaboração d...,Não informado,Não informado,Analista de Dados
Analista Contábil Sênior - Temporário,com funções de contabilidade geralPrincipais Atividades:•	Gerenciar transações contábeis•	PrepararanálisesLucro e Centros de Custo•	Auditar transações e documentos financeiros•	Reforçar a confidencialidade dosdadosfinanceiros e realizar backups de bancos dedadosquando necessário•	Cumprir as políticas e regulamentos financeiros•	Apoiar naanális...,Não informado,Não informado,Analista de Dados
Coordenador de Projetos,"melhoria / inovações que geram aumento de produtividade e eficiência para as áreas;Contribuir para aanálisededadose tomada de decisão, sugerindo indicadores de acompanhamento e planos de ação, monitorando Administração ou afins.Sólida experiência com gestão de projetos, melhoria de processos - desenho e redesenho,análiseInglês Fluente será um diferen...",Não informado,Não informado,Analista de Dados
Vendedor Internacional,"negociando preços e prazos, bem como orientação em relação às especificações técnicas dos produtos,analisandoresponsabilidades:Promover a introdução de novos produtos e incrementar a venda do portfólio de produtos;Analisara atuação de seus clientes, apresentandodadose projeções futuras;Elaborar relatórios gerenciais com respostas rápidas;Acompanhar e ...",Não informado,Não informado,Analista de Dados
Analista de Métricas e Performance,".•Analisare acompanhar os principais KPIs do produto por canal e ter domínio das métricas: CPC, ROI material executivo, insights e reports.• Acompanhar churn / uso / engajamento, por ação realizada.•AnalisarOsdadospessoais coletados durante o processo seletivo dos candidatos que não forem admitidos neste momento poderão ser mantidos nos bancos de",Não informado,Não informado,Analista de Dados
Assistente em Relacionamento,Prospecção de Clientes;✅ Atendimento e suporte aos clientes;✅ Negociações e Vendas;✅ Fidelização;✅AnálisedeDados;✅ Relatórios e Feedback;✅ Gestão de carteira.É um profissional essencial para manter e fortalecer,Não informado,Não informado,Analista de Dados
Analista Administrativo Comercial Júnior,Atribuições:Analisardadospara ajustes e regularizações no sistema ERP TOTVS Protheus; Elaborar pedidos,Não informado,Não informado,Analista de Dados
Vagas Construção Civil,"MGCandidatura: Os interessados devem clicar no botão ""candidate-se"" e preencher o formulário com seusdadosA seleção será feita através daanálisedos currículos e entrevistas.",Não informado,Não informado,Analista de Dados
Vagas Construção Civil,"MGCandidatura: Os interessados devem clicar no botão ""candidate-se"" e preencher o formulário com seusdadosA seleção será feita através daanálisedos currículos e entrevistas.",Não informado,Não informado,Analista de Dados
Vagas Construção Civil,"MGCandidatura: Os interessados devem clicar no botão ""candidate-se"" e preencher o formulário com seusdadosA seleção será feita através daanálisedos currículos e entrevistas.",Não informado,Não informado,Analista de Dados
Gestor Comercial,eficazes;- Identificar novas oportunidades de negócios e desenvolver relacionamentos com clientes;-Analisardadosde vendas e apresentar relatórios;- Acompanhar o desempenho da equipe e das vendas.Requisitos:,Não informado,Não informado,Analista de Dados
Técnico de Processos Júnior,equipe de engenharia e manutenção para garantir o funcionamento contínuo e eficiente de equipamentos;Analisardadosde desempenho para identificar oportunidades de aumento de eficiência.Necessário:Técnico completo habilidade com softwares de desenho e modelagem: AUTOCAD e/ou Solidworks;Desejável conhecer ferramentas deanálise,Não informado,Não informado,Analista de Dados
Auxiliar de Consultoria,Descrição: Realizaranálisescomparativas utilizando informações e métricas pré-estabelecidas no sistema da empresa para a tomada de decisões assertivas;Entender as necessidades do cliente e conduziranálisesplano de monitoramento;Realizar revisões das informações coletadas pela equipe em campo e validar osdados,Não informado,Não informado,Analista de Dados
Analista de Bp RH Sr - Temporário,gerentes e funcionários em questões de RH;- Gerenciar projetos de RH e pesquisa de clima organizacional;-Analisardadosde RH e fornecer relatórios eanálisespara a liderança.Requisitos:- Experiência comprovada como,Não informado,Não informado,Analista de Dados
Assistente de Marketing,"online;- Auxiliar na organização de eventos e campanhas promocionais;- Realizar pesquisas de mercado eanálisedados.Requisitos:- Formação em Marketing, Comunicação ou áreas relacionadas;- Conhecimento em ferramentas deanálisededadose redes sociais;- Excelente habilidade de comunicação verbal e escrita;- Capacidade de trabalhar",Não informado,Não informado,Analista de Dados
Analista Sistemas | Desenvolvedor .net,"Descrição: Atribuições:Apoiar aanálisetécnica de requisitos;Apoiar nas definições técnicas, junto ao Requisitos Necessários:Graduação Completa em Ciências da Computação,Análisede Sistemas e áreas correlatas desenvolvimento .NET Core e full framework com C#;Bons conhecimentos em Orientação a Objetos e Estruturas deDados",Não informado,Não informado,Analista de Dados
Analista de Carga Jr,"com o cliente e o agente no exterior;
  - Efetuar follow-up diário com o cliente e o agente;
  -Analisarcarga e documento, fazendo sua correção imediata após autorização do cliente;
  - Lançar todos osdados- Atender prazos junto aos armadores quanto cumprimento de deadlines (draft + VGM + bookings);
  -Analise",Não informado,Não informado,Analista de Dados
Consultor de Marketing Digital - Ânima,"Experiência em algumas das demais áreas: Comunicação, Marketing Digital, Data Science, Mídias Sociais,AnálisedeDados, Engenharia (voltada paraanálisesdedadose Power BI).Como será seu dia a dia como educador ou educadora: • A cadeira terá como focoanálises, reports e apresentações das Instituições do squad ;• Acompanhamento...",Não informado,Não informado,Analista de Dados
Amostrador,garantindo a representatividade das amostras de acordo com o procedimento vigente para a realização dasanálisesno Controle de Qualidade.- Realizar asanálisesde identificação de matérias primas através do NIR/RAMAM a descrita no laudo do fornecedor.- Amostrar produto semi-acabado e produto acabado para que sejamanalisadosprocedimentos vigentes da área...,Não informado,Não informado,Analista de Dados
Analista de Planej e Controle de Operações I - Got,"inovação de melhoria contínua, Lean UX e Controle da Qualidade Total (CQT) das operações técnicas deanálisesestatística dedadosrelacionados a qualidade e demais atividades relativas ao processo, visando melhorias de cada processo deAnálisesCínicas (AC) e Centro Diagnóstico (CD - técnicos dependentes).Buscamos sendo desejável Farmácia, Biomedicina, En...",Não informado,Não informado,Analista de Dados
Analista Planejamento Financeiro,"para submissão e preparação de reportes e apresentações para a gerência e diretoria;Consolidação dosdadosde fechamentos mensais por unidade de negócio, bem comoanalisar, identificar e solucionar possíveis divergências em relação a meta orçamentária;Análisesde desempenho (DRE, indicadores financeiros e de demandas que forem necessárias para que a estrat...",Não informado,Não informado,Analista de Dados
Analista de Laboratório - Laboratório - Hospital São Rafael,".- Executar procedimentos técnicos (análisesclínicas, manutenções diárias equipamentos, calibrações, , microscopias, etc.) nos diferentes setores do laboratório.- Liberar os resultados dos exames apósanálisedo controle de qualidade,análisede exame e correlações clínicas.- Monitorar as pendências de resultados de exames executados nos diferentes setore...",Não informado,Não informado,Analista de Dados
Assistente de Operações (Sustentabilidade),"gerados pelo shopping e pelas lojas;Acompanhamento da empresa de coleta de resíduos, controle de pragas;Análisededadose preenchimento de sistemas e planilhas referentes aos índices de sustentabilidade;Elaboração",Não informado,Não informado,Analista de Dados
Analista de Treinamento e Desenvolvimento,".- Acompanhar indicadores da área,analisardadose gerar relatórios.Requisitos:Experiência anterior",Não informado,Não informado,Analista de Dados
Analista Financeiro,"Descrição: Analista FinanceiroAtividades:Consolidar eanalisardadosfinanceiros (orçamentos, previsões",Não informado,Não informado,Analista de Dados
Estágio em Engenharia Civil - Ge Aerospace,acompanhamento e controle do procedimento interno de gerenciamento de mudanças;Executar levantamento dedadosprocessos auxiliares ao programa de gerenciamento de mudanças;Dar apoio nas reuniões e encontros paraanálisesolicitações pertinentes ao programa de gerenciamento de mudanças; Auxiliar na busca e levantamento dedados,Não informado,Não informado,Analista de Dados
Analista de Marketing (SEO) Sênior,"-Conduzir pesquisas de palavras-chave,análiseda concorrência eanálisede conteúdo para identificar -Análisee Relatórios: Monitorar eanalisardadosde desempenho do site, incluindo tráfego orgânico,Análisede Tráfego e Desempenho, Screaming Frog SEO Spider, PageSpeed Insights, GTmetrix, Yoast SEO,",Não informado,Não informado,Analista de Dados
Pessoa Executivo (a) de Contas Ecommerce  - SP,".•Analisardadosde diversos relatórios para desenvolver planos de ação focados no desenvolvimento de essa especificidade.Requisitos:•	Vivência na área comercial, com conhecimento em formação de preços eanáliseinscrição para podermos te apoiar.É um compromisso da NIVEA resguardar sua privacidade e a proteção de seusdadosNossa Política de ...",Não informado,Não informado,Analista de Dados
Atendente de Relacionamento Marcação Presencial,"responsável, realizando o agendamento das consultas dos beneficiários, contribuindo com a coleta dedadose compartilha relatórios semanais e mensais com a coordenação e equipe;- Realizar o levantamento dedadosuma rede informal de relacionamento com as famílias;- Proceder a geração de guias e atualização dosdadossistema;- Identificar barreiras ao acess...",Não informado,Não informado,Analista de Dados
Coordenador de Inteligência de Mercado,"pesquisas qualitativas e quantitativas, desde o planejamento até os resultados finais, organizando osdadose informações e da gestão de CRM e banco dedadosda área comercial com informações de pesquisa e vendas Estabelecer planos, metas e estratégias da área, contribuindo para o processo decisório, através deanálisesoportunas;• Contribuir para a otimiz...",Não informado,Não informado,Analista de Dados
Comprador Sênior,"estabelecidos em contrato;Elaborar indicadores de performance (KPI) relativos aos processos de Procurement;Analisartendências de redução/ reajuste, novos entrantes etc.Elaborar apresentações e relatórios para a liderança;Analisardadosde forma profunda, e direcionar a tomada de decisões baseadas emdadosanalíticos;Atuar como interface",Não informado,Não informado,Analista de Dados
Executivo de Vendas - Latam,"vendas.Acompanhar e monitorar o pipeline dos distribuidores, demonstrações de produtos, negociações comerciais,análiseatividades dos distribuidores.Visitar potenciais clientes junto com o distribuidor e construir uma base dedadosde prospects.Monitorar eanalisaro desempenho de vendas e recomendar e/ou implementar ações corretivas.Responder coagulação ...",Não informado,Não informado,Analista de Dados
Operador de Utilidades,"para os setores da fábrica;Detectar falhas e irregularidades nos sistemas de utilidades através daanálisededados, interpretação de alarmes e leitura de instrumentos, executando as ações corretivas apropriadas utilidades compradas como água e gás, por meio do controle de nível dos reservatórios e da coleta dosdadosdos hidrômetros e gasômetros, de modo ...",Não informado,Não informado,Analista de Dados
Auxiliar Coleta - Laboratório Hospitalar - Biocor,"Descrição: Requisitos:- Formação; Ensino Médio Completo- Técnico em Patologia Clínica /AnalisesClínicas assinado que se encontra no prontuário dopaciente;-Confirmar o recebimento de amostras e prepará-las paraanálise;-Medir, pesar e dosar a hemoglobina do doador;-Registrar osdadospertinentes ao processo de doação;",Não informado,Não informado,Analista de Dados
Comprador,"equipe de compras;Atingir metas de custo, produtividade, precisão e pontualidade.Manter métricas eanalisardadospara avaliar o desempenho e implementar melhorias;Elaboração eanálisede relatórios;Cumprir leis",Não informado,Não informado,Analista de Dados
Analista Planejamento Comercial Sênior | Exclusiva para Profissionais de Diversidade,"Descrição: Estratégia da Remuneração Variável: Garantiranálisesdedadose estudos de impactos dos indicadores regras da Política de RV com a Apuração RH e Planejamento de Vendas, Realizar Backtests, Apresentaranálisese cenários propondo caminhos para tomada de decisão,Analisaros impactos sobre o orçamento de RV, Garantir Vendas e de Fatu...",Não informado,Não informado,Analista de Dados
Analista de Suporte Trainee,"desenvolvidos pela empresa ou por terceiro, atendendo os usuários internos, levantando as informações,analisandoos processos, solucionando os problemas para agilidade do atendimento ao cliente final;•Analisarproblemas para equipe de desenvolvimento ou para fornecedor de software quando o sistema apresentar problemas;•AnalisarConhecimento básico em in...",Não informado,Não informado,Analista de Dados
Técnico de Projetos,"Descrição: Descrição de Cargo:Recepcionar os pedidos de aço cortado e dobrado e arames,analisarse as Realizar o contato com o cliente em caso de dúvidas ou divergências nos pedidos recebidos;- Estimar eanalisarimediatos;- Planilha projetos de diferentes tipos e complexidades de interpretação, ou seja, transferirdadosdos projetosestruturais para o sof...",Não informado,Não informado,Analista de Dados
Técnico de Segurança do Trabalho,"Descrição: Descrição das Atividades:*Analisartodos os acidentes do trabalho, ocorridos na Empresa, coletandodadostécnicos e apresentando relatórios que contenham subsídios que permitam determinar causas acompanhando a execução dos diversos serviços, avaliando os riscos de intoxicação e explosividade dos gases,analisandoe pessoas envolvidas em acident...",Não informado,Não informado,Analista de Dados
Analista de Otimização e Performance,"Descrição: -Analisare executar os processos logisticos da empresa de forma segura, eficiente e confiável estratégicos e do dia a dia.- Realizar melhorias de automatização do processo de pagamento de fretes.- Gerar,analisarrelatórios referentes a fretes pagos e custos extras de transportes, sinalizando ineficiências.- Gerar eanalisarfinanceiros na áre...",Não informado,Não informado,Analista de Dados
Executivo Comercial,para entender seus desejos e preocupações.Prepara e realiza apresentações dos produtos e serviços.Criaanálisese relatórios frequentes comdadosfinanceiros e possibilidades de vendas.Participa de exposições ou,Não informado,Não informado,Analista de Dados
Inspetor de Qualidade Mr,pelos fornecedores.Realizar auditorias internas e externas nos fornecedores de equipamentos.Realizaranálisesatendimento às não-conformidadesAuditoria do sistema de gestão de qualidade de fornecedores.Análise dedados,Não informado,Não informado,Analista de Dados
Estágio Zurich Santander - Estagiário de Compras (DIRETORIA de Operações),"cumprimento de toda a jornada das demandas de compras,4) suporte na elaboração de KPI´s,5) e atualizações dedadosoffice ( PPT, Excell, etc) – Avançado•	Gostem de atuar com criação de KPI’s e Dashboards •	Habilidade emAnálise",Não informado,Não informado,Analista de Dados
Inspetor de Qualidade,"realizar testes e ensaios para verificar a qualidade dos produtos gerenciados na planta, carregamento dedadospara posterioranálisee geração de relatórios.",Não informado,Não informado,Analista de Dados
Executivo de Vendas - Inicio Imediato,para entender seus desejos e preocupações.Prepara e realiza apresentações dos produtos e serviços.Criaanálisese relatórios frequentes comdadosfinanceiros e possibilidades de vendas.Participa de exposições ou,Não informado,Não informado,Analista de Dados
Estagiário(a) de Ensino Superior,"Atividades:Apoiar a equipe na gestão de suprimentos,análisededados, participação em projetos e iniciativas",Não informado,Não informado,Analista de Dados
Faturista - Contrato Determinado 90 Dias,"Descrição: Efetuar faturamento das contas hospitalares, inserindodadosno sistema, conferindo e disponibilizando cobrança mantendo a sustentabilidade da instituição.Realizar o faturamento de contas e ambulatório,analisando",Não informado,Não informado,Analista de Dados
Estágio em Inteligência de Mercado,na realização de pesquisas primárias com a equipe de Vendas e Institutos de Pesquisa.Contribuir comanálisesgerar insights para o negócio.Colaborar no desenvolvimento e atualização de dashboards periódicos comdados,Não informado,Não informado,Analista de Dados
Coordenador(a) Financeiro(a),".-Analisardadosfinanceiros e de custos, propondo estratégias de otimização e redução de despesas.-",Não informado,Não informado,Analista de Dados
Executivo de Vendas - Pelotas/RS - Contrato por Prazo Determinado,"• Atendimento indireto a cliente;• Gestão e acompanhamento de performance;• Negociação com base emanálisededados;• Gestão detalhada do negócio através de ferramentas Unilever;• Gestão de categorias, produtos direta;CNH B, definitiva;Disponibilidade para atuar em Pelotas/RS;Desejável conhecimento em Power BI (análisesão atributos chave;Excelentes habili...",Não informado,Não informado,Analista de Dados
Analista de Sistemas Sr,"recursos e atendimento das necessidades da organização, bem como o contínuo aprimoramento dos serviços;Analisardados, códigos, tecnologias, ferramentas, serviços, plataformas, requisitos, estórias, documentações servidores WEB, versionamento de repositórios com GIT, Docker – criação de imagens e containers, banco dedados",Não informado,Não informado,Analista de Dados
10621 - Superintendente de Inteligência Artificial,"projetos utilizando métodos ágeis, promovendo a colaboração entre equipes.Analisar grandes volumes dedadosde marketing etc).Experiência prática com metodologias ágeis (Scrum, Kanban).Habilidade avançada emanálisededadose utilização de ferramentas de BI.Capacidade de adaptação de conteúdo para diferentes públicos.Contratação",Não informado,Não informado,Analista de Dados
Analista de Sistemas Sr - Foco Protheus,"Descrição: Responsável pelaanálise, implantação, capacitação e melhorias em sistemas, com o objetivo sistemas existentes, garantindo o bom funcionamento das aplicações, utilizando conhecimentos em banco dedadosSQL, para efetuar ajustes quando necessário, visando aprimorar o desempenho e a integridade dosdados",Não informado,Não informado,Analista de Dados
Analista de e-Commerce Pl,"digitais e de growth hacking focadas em performance, visando o rápido crescimento do negócio;Coletar,analisare interpretardadosutilizando ferramentas de Business Intelligence (BI) para identificar tendências em Administração, Tecnologias, Marketing, Engenharias ou áreas correlates;Experiência em gestão dedados",Não informado,Não informado,Analista de Dados
Analista de Processos Jr,"responsável;Garantir a manutenção do relacionamento com clientes, prestadores de serviços e assinantes;Geraranálisestrabalho: Duque de Caxias (Parque Gráfico);Modo de trabalho: Presencial;Horário: 9h às 18h.Os seusdadosOsdadospessoais coletados durante o processo seletivo dos candidatos que não forem admitidos neste momento poderão ser mantidos nos b...",Não informado,Não informado,Analista de Dados
Consultor Técnico Jr Industrial - RIO de Janeiro/RJ,"acompanhar carteira de clientes, realizando contatos telefônicos, por e-mail e visitas presenciais,analisando;- Consultoria e Assessoria aos Clientes FI;- Identificar atividades de P&D;- Cadastrar e atualizardadosem sistema específicos do FI;- Participar de reuniões internas e visitas aos Clientes;-Analisardocumentos (nível tecnológico) de forma crit...",Não informado,Não informado,Analista de Dados
Coordenador de SAP,"AnálisedeDadose Business Intelligence:Desenvolver relatórios gerenciais avançados, utilizando ferramentas Suporte aos usuários:Prover suporte e atendimentos aos usuários, por solicitações eanálise, a fim de a automatização de processos para reduzir custos e erros, aprimorar a tomada de decisão através dedadosResource Planning· CRM - Cust...",Não informado,Não informado,Analista de Dados
Analista de Sistema de Gestão Pleno,"da companhia.Principais atividades: •	O Analista Pleno de Sistemas de Gestão terá atuação focada emAnálisesdos resultados;•	As principais atividades incluem aanálisedos indicadores de desempenho, consolidação em busca de novas oportunidades;•	Participação de fóruns de discussão de resultados e indicadores,análisesDiferenciais para a função: Visão sis...",Não informado,Não informado,Analista de Dados
Atuário Sênior,"dia você:O profissional atuará na precificação de novos contratos e reajustes da carteira (saúde),análisede aceitação e subscrição de riscos (underwriting), estudos de impacto de preço,análisedo perfil de alterações a fim de mitigar riscos;-Elaborar o cálculo do VCMH da Carteira;-Desenvolver KPI's e construiranálisesnovos produtos;-Automatizar os pro...",Não informado,Não informado,Analista de Dados
Técnico em Lubrificação Jr,"níveis de lubrificante e a qualidade sejam mantidos conforme as diretrizes estabelecidas.Coletar eanalisarmanutenção.Manter registros e reportar semanalmente  todas as atividades de lubrificação, inspeções eanáliseslubrificação.Habilidade para usar ferramentas e equipamentos de medição, como medidores de viscosidade,análisadoresde óleo, entre outros....",Não informado,Não informado,Analista de Dados
Técnico (a) de Laboratório - Laboratório Hospital - São Caetano,"Descrição: Requisitos:- Formação: Ensino Médio Concluído + TécnicoAnálisesClinicas (Patologia Clínicas técnicas específicas para cada tipo de exame e utilizar aparelhagem correspondente, bem como transcreverdados",Não informado,Não informado,Analista de Dados
Analista de Controles Industriais Júnior,"Bons conhecimentos das áreas de custos, planejamento, engenharia de produção;Análisecrítica dedados",Não informado,Não informado,Analista de Dados
Tecnico de Laboratorio - Laboratorio - Hospital Central Leste,"Requisitos:
- Formação;Ensino médio Completo + TécnicoAnalisesClinicas (Patologia Clinica) ou Superior TÉCNICAS ESPECÍFICAS PARA CADA TIPO DE EXAME E UTILIZAR APARELHAGEM CORRESPONDENTE, BEM COMO TRANSCREVERDADOS",Não informado,Não informado,Analista de Dados
Vendedor Externo - Zona Leste/SP,ações de trade para entrega de resultados.Acompanhar sell out para alcançar os resultados de vendas;Analisardadosdo cliente e indicadores de performance da área;Outros requisitos: Ensino Superior CompletoDesejável,Não informado,Não informado,Analista de Dados
Trainee de Valuation,"Descrição: As vagas de trainee e ou estagiário  para as áreas de consultoria financeira (Valuation e M&A) eanálisetrabalhos de Valuation e de projeções econômico-financeiras para empresas;• Auxiliar na consolidação eanáliseinformações financeiras de empresas, utilizando as demonstrações contábeis, e do mercado, incluindodados",Não informado,Não informado,Analista de Dados
Estagiário(a) de Manutenção Elétrica - Cezarina / GO,rotinas dos técnicos de manutenção elétrica.Desenvolver habilidades relacionadas ao conhecimento emanalisadoresinversores de frequência e motores elétricos.Acompanhar as rotinas da área de instrumentação.Participar dasanálisesinteração com demais áreas;Acompanhar as atividades de rotina da área de manutenção elétrica;Gestão dedados,Não informado,Não informado,Analista de Dados
Advogado,Descrição: Emitir pareceres jurídicos de complexidade alta eanálisede legislação bem como desenvolver necessário.Executar ou suportar o time no preenchimento de planilha de contingenciamento.Atualização de base dedadosimpactos de caixa e provisões relacionados aos processos e exigências legais.Coordenação dos trabalhos eanálise,Não informado,Não informado,Analista de Dados
Estágio em Engenharia Industrial | Manaus AM,"O candidato irá auxiliar em atividades relacionadas à melhoria de processos produtivos,análisededadospor 6 horas diárias;Atividades:Auxiliar na implementação de projetos de melhoria contínua;Realizaranálises",Não informado,Não informado,Analista de Dados
Analista de Transporte Pleno,":Planejar e coordenar as operações de transporte, garantindo que os prazos sejam cumpridos.Analisardadospreferencialmente em posição similar.Conhecimento em sistemas de gestão de transporte (TMS) e ferramentas deanálisede dados.Diferenciais:Certificações na área de logística ou transporte.Experiência comanálisede KPIs",Não informado,Não informado,Analista de Dados
Especialista de Conteúdo (Copywriter) e SEO,relacionados a SEO;Capacidade de usar diferentes plataformas de SEO de forma eficaz e eficiente;Monitorar eanalisarregularmente o desempenho de jornadas usando ferramentas deanálisee SEO;Acompanhamento de agência marketing e desenvolvimento para garantir consistência e coesão na comunicação com alunos e prospecta;Analisarestilo e tom de voz da marca.G...,Não informado,Não informado,Analista de Dados
Estágio em Operações de Produto (Afirmativa para Pessoas Pretas e Pardas),"focal para projetos de novos recursos relacionados a algoritmos para otimizar a eficiência dos negócios;Analisarlançamentos com outras áreas (Marketing, Jurídico, Operações, Produto, Pesquisa, Segurança, entre outros);Analisarproblemas (bugs) nas funcionalidades sob a responsabilidade da equipe;Criar consultas SQL para ajudar aanalisarcursando um curso...",Não informado,Não informado,Analista de Dados
Auxiliar de Pesquisa e Desenvolvimento,"e homogeneizar ingredientes para utilização nas receitas;Assar, fatiar e organizar os produtos paraanáliseAlimentos ou áreas afinsFormação: Técnico em Química, Alimentos ou áreas afins;Conhecimento em técnicas deanálisequímica;Habilidade em trabalhar com planilhas e softwares deanálisededados;Boa comunicação e habilidade",Não informado,Não informado,Analista de Dados
Analista de Implantação,"ao novo cliente- Solicitar ao cliente informações no formato dos layouts das operadoras e inserir osdadosclientes que atuam no setor fabril.Vaga 100% presencialOutros requisitos: - Experiência comprovada emanáliseimplantação- Conhecimento sobre as tratativas do FGTS/CAGED- Excel intermediário, com habilidades paraanálisededadose relató...",Não informado,Não informado,Analista de Dados
